node,in_degree,out_degree,pagerank
6071,5.0,1.0,0.0006067140725377289
5986,4.0,1.0,0.0006065731224924108
6658,6.0,2.0,0.0006055852383801601
2495,2.0,1.0,0.0006031260911206878
441,2.0,1.0,0.0006030486844519653
3951,4.0,2.0,0.000602105030822286
4680,3.0,4.0,0.0006021013829200933
2976,3.0,3.0,0.0006003537354225408
975,16.0,4.0,0.0005995420834292112
1219,3.0,3.0,0.0005991327995992524
4025,5.0,2.0,0.0005979092102144926
4668,5.0,3.0,0.0005935777624038039
1609,3.0,4.0,0.000592173854163605
2671,6.0,1.0,0.0005888820150909541
3575,11.0,7.0,0.0005885283094521189
672,10.0,2.0,0.0005874934198224889
6191,6.0,1.0,0.000587380174580457
2296,5.0,1.0,0.000587380174580457
2696,3.0,3.0,0.0005873801745804568
6690,6.0,3.0,0.0005870070475708405
1625,4.0,1.0,0.0005857577588948424
1114,4.0,4.0,0.0005845755407807923
5616,11.0,7.0,0.0005835133194118389
3359,9.0,2.0,0.0005832138806351391
351,3.0,3.0,0.0005828635021799887
4164,12.0,24.0,0.000582202960962898
3988,3.0,2.0,0.0005819729057775372
3857,4.0,2.0,0.0005809404525776702
1089,4.0,1.0,0.0005809107910497807
5929,2.0,1.0,0.000580112779816122
1768,3.0,3.0,0.0005776708861494113
3369,9.0,6.0,0.0005767705895897223
1610,5.0,2.0,0.000576222388742829
2804,3.0,1.0,0.0005758396059728781
3030,9.0,5.0,0.0005741132574771171
3685,20.0,21.0,0.0005723951278993314
445,1.0,1.0,0.0005704587377060196
2494,1.0,1.0,0.0005698567555858576
2514,6.0,4.0,0.0005697949104233491
2483,9.0,5.0,0.0005695354075527945
4223,3.0,2.0,0.0005691301694481479
3216,6.0,1.0,0.0005688560604377821
4985,4.0,3.0,0.0005662973990092111
6247,3.0,1.0,0.0005652848813149902
3071,3.0,7.0,0.0005645355282701069
6431,14.0,10.0,0.0005644214127113618
151,2.0,1.0,0.0005628461874928103
4058,7.0,4.0,0.0005626265704178902
3864,1.0,1.0,0.0005604274948990209
899,13.0,4.0,0.0005598646214702771
406,2.0,1.0,0.0005594685829727959
540,2.0,1.0,0.0005588565129633278
1245,3.0,1.0,0.0005587513821573252
5128,4.0,3.0,0.0005555619542176285
5719,4.0,1.0,0.0005552254100640154
154,5.0,1.0,0.0005542353843745257
4969,2.0,3.0,0.000553984032923658
2069,5.0,4.0,0.0005534546278412133
1244,2.0,2.0,0.0005520829804015198
6702,3.0,4.0,0.0005518780090950296
292,10.0,17.0,0.0005516014736976636
742,3.0,3.0,0.0005514918633262769
1626,1.0,1.0,0.000549358517550967
1928,2.0,4.0,0.0005489231771178989
1252,8.0,3.0,0.0005487843783494136
5212,5.0,4.0,0.0005486297783741485
6262,2.0,2.0,0.0005483114811065064
6505,2.0,3.0,0.000548182877118452
2803,1.0,1.0,0.0005462713906636321
2284,1.0,2.0,0.000546242740378529
6180,1.0,3.0,0.000546242740378529
247,3.0,1.0,0.0005450042510558321
527,3.0,1.0,0.0005447111236873487
4,5.0,1.0,0.0005444773355161785
644,2.0,4.0,0.0005442169521776558
1993,2.0,2.0,0.0005442169521776558
1539,3.0,3.0,0.0005442169521776557
6294,2.0,1.0,0.000542295143823453
5122,5.0,2.0,0.000542234049454912
4218,2.0,1.0,0.0005419040237543961
1021,3.0,3.0,0.0005384252535831842
4540,20.0,2.0,0.0005377747951834307
1800,6.0,9.0,0.0005370825372460575
5328,3.0,4.0,0.0005366634848492133
3427,3.0,4.0,0.0005364498768163443
3217,8.0,2.0,0.0005354346706827309
1621,5.0,1.0,0.000535102140422589
4699,2.0,1.0,0.0005338719754469109
6301,7.0,4.0,0.0005337713749649964
4382,7.0,2.0,0.0005332692956278701
3600,4.0,3.0,0.000533142545021873
4986,3.0,3.0,0.0005318110465833921
1432,10.0,6.0,0.0005315550512068985
2981,3.0,1.0,0.0005314992369366323
405,1.0,1.0,0.0005301399236236981
4467,4.0,1.0,0.0005288338614276666
4071,3.0,1.0,0.0005280330188059956
1434,3.0,1.0,0.0005270589218786304
1953,13.0,20.0,0.0005262463126080159
504,3.0,2.0,0.0005253652514019861
5026,3.0,2.0,0.0005247015713123692
2098,5.0,2.0,0.000524330388541212
19,6.0,4.0,0.0005240759373243847
3676,12.0,14.0,0.0005232298235381737
161,3.0,1.0,0.0005226353409762553
5015,4.0,1.0,0.0005226353409762553
5419,2.0,1.0,0.000521649332472937
6072,4.0,7.0,0.0005202594310946838
2337,5.0,2.0,0.0005201614228649732
1878,2.0,1.0,0.0005196180433828495
39,5.0,4.0,0.0005194059082709758
5715,1.0,3.0,0.00051855107395848
528,1.0,1.0,0.0005180918530818197
2206,2.0,1.0,0.0005177174104252251
4701,1.0,1.0,0.0005176348411368863
5017,2.0,2.0,0.0005173708231592375
7,1.0,3.0,0.0005169443120031597
3026,8.0,6.0,0.000515650650928129
1111,6.0,2.0,0.000515191042442991
4972,3.0,1.0,0.0005145906071415687
3752,4.0,3.0,0.0005138979885090293
3961,4.0,1.0,0.0005132733565203159
4147,3.0,1.0,0.0005106624026939222
4144,2.0,2.0,0.0005104320986657824
2562,6.0,4.0,0.0005103026329623941
4198,3.0,1.0,0.0005090530040534196
6295,1.0,1.0,0.0005089338300737226
2327,6.0,2.0,0.0005083241441614071
3154,11.0,12.0,0.0005081328458702285
3794,4.0,1.0,0.0005074077965796455
5255,6.0,4.0,0.0005064927609029822
4076,1.0,2.0,0.0005063028368728194
6308,3.0,3.0,0.0005061404736349643
387,3.0,2.0,0.0005047493858290744
5989,7.0,2.0,0.0005031973116640443
1097,5.0,2.0,0.0005023628334852534
870,5.0,0.0,0.0005020994818593126
5401,2.0,1.0,0.0005010537297748548
3222,12.0,10.0,0.0005003075830119957
268,11.0,1.0,0.0004993372262201785
162,1.0,1.0,0.0004968021060582737
1638,2.0,2.0,0.0004954534181167045
5394,2.0,1.0,0.0004940343726854977
1720,4.0,1.0,0.0004940343726854976
4971,1.0,1.0,0.000493647913860729
2099,2.0,1.0,0.0004926587694355605
334,3.0,3.0,0.0004921759520516568
508,3.0,3.0,0.0004921463509335636
1236,5.0,1.0,0.0004915909265983021
507,2.0,1.0,0.0004911681334754128
1958,3.0,4.0,0.0004904129455706232
5471,3.0,4.0,0.0004902890581927848
3183,5.0,3.0,0.0004899260845144843
1483,2.0,2.0,0.0004892879086569546
1997,2.0,3.0,0.0004887542711049688
2414,5.0,1.0,0.0004883969956441989
2207,1.0,1.0,0.00048772605433786023
1882,1.0,1.0,0.00048764062794223815
1494,9.0,16.0,0.00048712749676490825
2608,5.0,3.0,0.0004869732704470992
5418,1.0,1.0,0.0004868602142315952
1489,5.0,1.0,0.00048662948817731317
370,5.0,1.0,0.00048624536487954455
6386,4.0,2.0,0.00048603644517984434
727,3.0,2.0,0.00048378844081373433
1644,2.0,2.0,0.00048172518400704876
5912,4.0,1.0,0.00048163889243318096
1012,2.0,2.0,0.00048075128998801837
5257,4.0,1.0,0.00048071389867023476
3795,1.0,1.0,0.0004802957952580421
1261,2.0,2.0,0.0004802131492477199
3993,11.0,10.0,0.0004797120991766274
6388,4.0,1.0,0.0004775714598026461
3213,4.0,10.0,0.0004771263854557936
1440,12.0,17.0,0.0004759536983343788
2006,5.0,1.0,0.0004757350027193525
2479,11.0,10.0,0.0004750248527292888
6326,2.0,1.0,0.00047468501645764577
780,9.0,8.0,0.0004741171323846516
2157,20.0,14.0,0.00047357494647307715
1914,5.0,2.0,0.00047196726508129383
935,5.0,2.0,0.000470807266170943
968,7.0,5.0,0.00046979317314310714
229,2.0,1.0,0.0004695956723478102
1450,2.0,3.0,0.00046947471801587185
5488,4.0,3.0,0.0004687248003325984
2355,5.0,1.0,0.0004685362948333564
